Plaza de la Reina - Mar;8;T;0;9;9;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3752982847143531, 39.473881223660634], ""type"": ""Point""}";39.473881223660634, -0.3752982847143531;2024-11-13T19:39:11+01:00
Alfonso el Magnánimo - Nave;13;T;6;18;24;F;13/11/2024 18:39:33;"{""coordinates"": [-0.37087436964085335, 39.4720623227334], ""type"": ""Point""}";39.4720623227334, -0.37087436964085335;2024-11-13T19:38:44+01:00
Ribera - Plaza Ayuntamiento;15;T;0;16;34;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3756373880434071, 39.46908831533384], ""type"": ""Point""}";39.46908831533384, -0.3756373880434071;2024-11-13T19:37:05+01:00
Quart - Fernando el Católico;20;T;2;14;16;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3878474253260651, 39.47503434099054], ""type"": ""Point""}";39.47503434099054, -0.3878474253260651;2024-11-13T19:31:49+01:00
Fernando el Católico - Cuenca;24;T;2;17;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3840274173384119, 39.469077319212495], ""type"": ""Point""}";39.469077319212495, -0.3840274173384119;2024-11-13T19:35:42+01:00
San José de Calasanz - Salas Quiroga;26;T;3;12;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.38586429939117395, 39.46633523268935], ""type"": ""Point""}";39.46633523268935, -0.38586429939117395;2024-11-13T19:38:05+01:00
Navarro Reverter - Grabador Esteve;28;T;9;19;29;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36775135880068294, 39.47158231958138], ""type"": ""Point""}";39.47158231958138, -0.36775135880068294;2024-11-13T19:35:43+01:00
Cirilo Amorós - Jorge Juan (Mercado Colón);30;T;0;19;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36849936365579583, 39.468601309884924], ""type"": ""Point""}";39.468601309884924, -0.36849936365579583;2024-11-13T19:31:40+01:00
Peris y Valero - Cuba;39;T;14;4;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3739313916673185, 39.457854277261184], ""type"": ""Point""}";39.457854277261184, -0.3739313916673185;2024-11-13T19:35:06+01:00
Hermanos Maristas - General Urrutia;45;T;4;11;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36185535292343096, 39.45381925759081], ""type"": ""Point""}";39.45381925759081, -0.36185535292343096;2024-11-13T19:36:24+01:00
Pintor Luis Arcas - Inst. Obrero Valenciano;46;T;17;2;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.35878734087160885, 39.455509261762266], ""type"": ""Point""}";39.455509261762266, -0.35878734087160885;2024-11-13T19:37:49+01:00
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler);49;T;25;0;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3571104198826364, 39.45298693239739], ""type"": ""Point""}";39.45298693239739, -0.3571104198826364;2024-11-13T19:30:33+01:00
